Year,Topic,Geography,Category,Value,Unit
2016,Sanitation,South Africa,Bucket toilet,199433,count
2016,Sanitation,South Africa,Bucket toilet,1.3,%
2016,Sanitation,South Africa,Chemical toilet,69672,count
2016,Sanitation,South Africa,Chemical toilet,0.4,%
2016,Sanitation,South Africa,Flush toilet connected to public sewerage,9519332,count
2016,Sanitation,South Africa,Flush toilet connected to public sewerage,60.6,%
2016,Sanitation,South Africa,Flush toilet connected to septic tank,599936,count
2016,Sanitation,South Africa,Flush toilet connected to septic tank,3.8,%
2016,Sanitation,South Africa,None,455196,count
2016,Sanitation,South Africa,None,2.9,%
2016,Sanitation,South Africa,Other,41866,count
2016,Sanitation,South Africa,Other,0.3,%
2016,Sanitation,South Africa,Pit latrine with ventilation pipe,2596663,count
2016,Sanitation,South Africa,Pit latrine with ventilation pipe,16.5,%
2016,Sanitation,South Africa,Pit latrine without ventilation pipe,2219619,count
2016,Sanitation,South Africa,Pit latrine without ventilation pipe,14.1,%
2016,Water_Source,South Africa,Borehole on site,288,thousands
2016,Water_Source,South Africa,Borehole on site,1.8,%
2016,Water_Source,South Africa,Borehole outside yard,249,thousands
2016,Water_Source,South Africa,Borehole outside yard,1.6,%
2016,Water_Source,South Africa,Flowing water/stream/river,335,thousands
2016,Water_Source,South Africa,Flowing water/stream/river,2.1,%
2016,Water_Source,South Africa,Municipal Water-carrier/tanker,370,thousands
2016,Water_Source,South Africa,Municipal Water-carrier/tanker,2.3,%
2016,Water_Source,South Africa,Neighbours tap,378,thousands
2016,Water_Source,South Africa,Neighbours tap,2.4,%
2016,Water_Source,South Africa,Other,134,thousands
2016,Water_Source,South Africa,Other,0.9,%
2016,Water_Source,South Africa,Piped (tap) water in dwelling,7339,thousands
2016,Water_Source,South Africa,Piped (tap) water in dwelling,46.6,%
2016,Water_Source,South Africa,Piped (tap) water on site or in yard,4214,thousands
2016,Water_Source,South Africa,Piped (tap) water on site or in yard,26.8,%
2016,Water_Source,South Africa,Public or communal tap,2078,thousands
2016,Water_Source,South Africa,Public or communal tap,13.2,%
2016,Water_Source,South Africa,Rain-water tank on site,121,thousands
2016,Water_Source,South Africa,Rain-water tank on site,0.8,%
2016,Water_Source,South Africa,Spring,154,thousands
2016,Water_Source,South Africa,Spring,1.0,%
2016,Water_Source,South Africa,Stagnant water/dam/pool,34,thousands
2016,Water_Source,South Africa,Stagnant water/dam/pool,0.2,%
2016,Water_Source,South Africa,Water vendor,0,thousands
2016,Water_Source,South Africa,Water vendor,0.0,%
2016,Water_Source,South Africa,Well,50,thousands
2016,Water_Source,South Africa,Well,0.3,%
2015,Sanitation,South Africa,Bucket toilet,173460,count
2015,Sanitation,South Africa,Bucket toilet,1.1,%
2015,Sanitation,South Africa,Chemical toilet,73820,count
2015,Sanitation,South Africa,Chemical toilet,0.5,%
2015,Sanitation,South Africa,Flush toilet connected to public sewerage,9205628,count
2015,Sanitation,South Africa,Flush toilet connected to public sewerage,60.3,%
2015,Sanitation,South Africa,Flush toilet connected to septic tank,497567,count
2015,Sanitation,South Africa,Flush toilet connected to septic tank,3.3,%
2015,Sanitation,South Africa,None,552417,count
2015,Sanitation,South Africa,None,3.6,%
2015,Sanitation,South Africa,Other,51302,count
2015,Sanitation,South Africa,Other,0.3,%
2015,Sanitation,South Africa,Pit latrine with ventilation pipe,2502451,count
