Financial_Year,Municipality,Province,Item_Label,Item_Category,Value_ZAR,Municipality_Type
2019,City of Johannesburg,Gauteng,Property Rates,Revenue - Property Rates,80134116097,Metro
2019,City of Johannesburg,Gauteng,Property Rates - Penalties And Collection Charges,Revenue - Property Rates,616890562,Metro
2019,City of Johannesburg,Gauteng,Redemption Payments - External Borrowings (Gamap To Remove),Capital - Financing,0,Metro
2019,City of Johannesburg,Gauteng,Remuneration Of Councillors,Expenditure - Employee Costs,1201001563,Metro
2019,City of Johannesburg,Gauteng,Rent Of Facilities And Equipment,Revenue - Other,2542358722,Metro
2019,City of Johannesburg,Gauteng,Revaluation Reserve,Reserve - Asset,0,Metro
2019,City of Johannesburg,Gauteng,Self-Insurance Reserve,Reserve - Fund,0,Metro
2019,City of Johannesburg,Gauteng,Service Charges,Revenue - Service Charges,211573440823,Metro
2019,City of Johannesburg,Gauteng,SURPLUS,Summary - Surplus/Deficit,0,Metro
2019,City of Johannesburg,Gauteng,"Surplus / (Deficit) After Tax, Cross Subsidies & Share Of As",Summary - Surplus/Deficit,35570779427,Metro
2019,City of Johannesburg,Gauteng,Taxation,Expenditure - Operating,919024767,Metro
2019,City of Johannesburg,Gauteng,Total Direct Operating Expenditure,Summary - Expenditure,364550212238,Metro
2019,City of Johannesburg,Gauteng,Total Direct Operating Revenue,Summary - Revenue,400962847954,Metro
2019,City of Johannesburg,Gauteng,Total Indirect Operating Expenditure,Summary - Expenditure,6462856021,Metro
2019,City of Johannesburg,Gauteng,Total Indirect Operating Revenue,Summary - Revenue,6540024499,Metro
2019,City of Johannesburg,Gauteng,Total Operating Expenditure,Summary - Expenditure,371013068259,Metro
2019,City of Johannesburg,Gauteng,Total Operating Revenue,Summary - Revenue,407502872453,Metro
2019,City of Johannesburg,Gauteng,Total Operating Revenue Generated,Other,400962847954,Metro
2019,City of Johannesburg,Gauteng,Transfers Recognised - Capital,Other,20088250827,Metro
2019,City of Johannesburg,Gauteng,Transfers Recognised - Operating,Other,59061162400,Metro
2019,City of Tshwane,Gauteng,Agency Services,Expenditure - Operating,19623572,Metro
2019,City of Tshwane,Gauteng,Asset Financing Reserve (Afr),Reserve - Asset,0,Metro
2019,City of Tshwane,Gauteng,Bulk Purchases,Expenditure - Operating,77242068961,Metro
2019,City of Tshwane,Gauteng,Change To Unappropriated Surplus / (Accumulated Deficit),Summary - Surplus/Deficit,18517674205,Metro
2019,City of Tshwane,Gauteng,Collection Costs,Expenditure - Operating,0,Metro
2019,City of Tshwane,Gauteng,Contracted Services,Expenditure - Operating,24225228934,Metro
2019,City of Tshwane,Gauteng,Contributed Assets,Revenue - Other,0,Metro
2019,City of Tshwane,Gauteng,Contributions To/(From) Provisions,Expenditure - Operating,0,Metro
2019,City of Tshwane,Gauteng,Cross Subsidisation,Expenditure - Internal,0,Metro
2019,City of Tshwane,Gauteng,Debt Impairment,Expenditure - Operating,14359388916,Metro
